quote_id,request_date,customer_age,gender,region,channel,price_offered,discount_percent,previous_policy,converted
100248,11-01-2023,57,F,East,Online,1983.24,15,1,0
100249,11-01-2023,56,F,North,Online,1808.46,15,0,0
100250,11-01-2023,35,M,East,Online,1159.94,5,1,0
100251,11-01-2023,57,F,West,Agent,1277.76,20,0,0
100252,11-01-2023,18,F,North,Online,1329.82,5,1,1
100253,11-01-2023,28,F,South,Call Center,1650.37,0,1,0
100254,11-01-2023,45,F,East,Call Center,1756.99,5,1,0
100255,11-01-2023,42,M,South,Agent,1749.53,15,1,0
100256,11-01-2023,40,M,South,Online,1509.87,10,1,1
100257,11-01-2023,48,M,North,Call Center,1810.82,0,1,0
100258,11-01-2023,47,M,East,Agent,1437.08,10,1,0
100259,11-01-2023,59,M,West,Call Center,1123.88,0,0,1
100260,11-01-2023,52,M,South,Agent,1564.44,0,1,0
100261,11-01-2023,24,F,North,Agent,1952.3,15,0,0
100262,11-01-2023,33,M,North,Online,1792.99,5,0,1
100263,11-01-2023,43,M,West,Agent,1578.7,15,0,1
100264,12-01-2023,19,F,North,Call Center,1646.81,15,1,0
100265,12-01-2023,18,M,South,Call Center,1930.56,15,0,0
100266,12-01-2023,29,F,North,Online,1428.34,10,1,0
100267,12-01-2023,22,F,East,Online,1331.39,0,1,0
100268,12-01-2023,54,M,East,Agent,1977.24,20,1,0
100269,12-01-2023,49,F,South,Online,1863.44,5,0,1
100270,12-01-2023,26,M,East,Call Center,1323.04,15,0,0
100271,12-01-2023,58,M,West,Call Center,1463.78,0,1,0
100272,12-01-2023,52,F,North,Online,1415.08,5,1,0
100273,12-01-2023,36,F,South,Online,1149.1,20,1,0
100274,12-01-2023,33,M,West,Online,1957.82,20,1,0
100275,12-01-2023,20,F,North,Agent,1404.31,15,0,0
100276,12-01-2023,37,F,West,Agent,1875.33,20,0,1
100277,12-01-2023,41,M,South,Call Center,1189.36,20,0,0
100278,12-01-2023,50,M,South,Agent,1547.87,5,0,0
100279,12-01-2023,41,F,West,Agent,1023.96,5,0,0
100280,12-01-2023,28,M,North,Agent,1764.22,15,1,0
100281,12-01-2023,25,M,East,Agent,1580.91,0,1,0
100282,12-01-2023,53,M,East,Call Center,1625.59,15,0,1
100283,12-01-2023,55,M,West,Online,1051.72,10,1,1
100284,12-01-2023,57,M,South,Call Center,1211.04,20,0,0
100285,12-01-2023,37,M,North,Agent,1074.33,0,1,1
100286,12-01-2023,52,M,North,Online,1288.91,5,1,0
100287,12-01-2023,42,F,South,Online,1627.44,10,1,0
100288,13-01-2023,52,M,East,Online,1566.19,10,0,0
100289,13-01-2023,42,F,North,Call Center,1612.15,20,0,0
100290,13-01-2023,46,F,West,Online,1549.25,5,0,0
100291,13-01-2023,35,F,East,Call Center,1273.03,0,1,0
100292,13-01-2023,63,M,West,Call Center,1244.51,5,1,0
100293,13-01-2023,35,M,East,Agent,1137.06,20,1,0
100294,13-01-2023,19,F,South,Agent,1849.07,10,1,0
100295,13-01-2023,52,M,West,Online,1616.48,20,1,0
100296,13-01-2023,33,F,West,Online,1186.51,15,0,1
100297,13-01-2023,58,M,South,Agent,1177.21,10,0,0
100298,13-01-2023,53,M,West,Call Center,1873.04,20,1,0
100299,13-01-2023,50,F,East,Call Center,1742.73,0,0,0
100300,13-01-2023,21,F,North,Agent,1659.4,0,1,1
100301,13-01-2023,50,F,North,Call Center,1406.86,0,1,0
100302,13-01-2023,31,M,South,Agent,1261.98,15,0,1
100303,13-01-2023,38,F,East,Agent,1979.45,5,1,0
100304,13-01-2023,37,M,West,Online,1797.24,0,0,1
100305,13-01-2023,25,M,West,Online,1301.78,15,0,0
100306,13-01-2023,24,M,North,Agent,1847.56,0,0,0
100307,13-01-2023,20,F,West,Online,1758.93,15,1,0
100308,13-01-2023,34,F,North,Agent,1297.08,0,0,0
100309,13-01-2023,50,F,South,Call Center,1426.55,5,1,0
100310,13-01-2023,29,M,West,Call Center,1185.95,20,1,0
100311,13-01-2023,39,M,East,Call Center,1111.05,0,1,0
100312,14-01-2023,39,F,West,Call Center,1722.76,20,1,0
100313,14-01-2023,63,M,North,Agent,1267.51,0,1,1
100314,14-01-2023,47,M,South,Call Center,1820.06,5,1,1
100315,14-01-2023,55,F,North,Call Center,1995.61,20,1,0
100316,14-01-2023,55,F,West,Call Center,1076.62,15,1,0
100317,14-01-2023,62,F,North,Call Center,1473.04,0,0,0
100318,14-01-2023,25,M,North,Agent,1802.06,0,0,1
100319,14-01-2023,44,M,South,Call Center,1788.95,15,1,1
100320,14-01-2023,44,M,East,Online,1760,5,1,1
100321,14-01-2023,51,M,West,Online,1348.99,10,0,0
100322,14-01-2023,38,M,South,Online,1453.85,0,0,1
100323,14-01-2023,47,F,East,Online,1594.97,15,0,1
100324,14-01-2023,50,M,North,Online,1973.94,10,0,0
100325,14-01-2023,45,M,East,Online,1327.55,0,0,1
100326,14-01-2023,64,M,North,Agent,1923.14,20,0,0
100327,14-01-2023,50,F,North,Online,1269.36,15,1,0
100328,14-01-2023,22,F,South,Call Center,1989.07,20,0,1
100329,14-01-2023,36,F,North,Online,1670.26,5,0,0
100330,14-01-2023,21,M,South,Agent,1463.51,10,0,1
100331,14-01-2023,52,F,East,Online,1613.39,15,0,0
100332,14-01-2023,34,F,East,Call Center,1272.53,0,1,1
100333,14-01-2023,61,F,North,Call Center,1274.17,0,1,0
100334,14-01-2023,45,M,South,Agent,1113.55,10,1,1
100335,14-01-2023,47,F,North,Agent,1114.05,20,1,1
100336,15-01-2023,46,M,South,Agent,1347.67,20,1,0
100337,15-01-2023,63,M,South,Agent,1762.86,15,1,0
100338,15-01-2023,23,F,South,Online,1607.97,15,1,1
100339,15-01-2023,52,M,East,Online,1102.58,20,1,0
100340,15-01-2023,58,F,South,Call Center,1852.24,15,0,0
100341,15-01-2023,54,M,East,Agent,1601.37,20,0,0
100342,15-01-2023,41,F,South,Agent,1960.86,10,1,1
100343,15-01-2023,46,F,East,Online,1670.19,15,1,0
100344,15-01-2023,63,F,West,Agent,1175.17,20,1,1
100345,15-01-2023,48,M,East,Call Center,1473.78,15,0,1
100346,15-01-2023,52,F,East,Call Center,1648.5,0,1,0
100347,15-01-2023,50,M,North,Agent,1028.26,0,1,0
100348,15-01-2023,38,F,South,Call Center,1014.91,5,1,1
100349,15-01-2023,49,M,West,Call Center,1129.4,20,1,1
100350,15-01-2023,40,M,North,Online,1251.66,5,0,0
100351,15-01-2023,50,F,South,Call Center,1429.55,20,1,1
100352,15-01-2023,20,F,West,Agent,1487.44,15,0,0
100353,15-01-2023,35,F,West,Agent,1138.03,20,0,0
100354,15-01-2023,42,F,West,Call Center,1673.39,0,1,1
100355,15-01-2023,59,F,South,Agent,1596.14,15,0,0
100356,15-01-2023,48,M,West,Online,1294.46,0,1,0
100357,15-01-2023,20,F,West,Call Center,1013.66,15,0,1
100358,15-01-2023,57,F,North,Call Center,1077.65,20,1,0
100359,15-01-2023,63,M,East,Call Center,1391.69,20,0,0
100360,16-01-2023,41,F,South,Agent,1153.97,0,0,0
100361,16-01-2023,49,F,East,Agent,1376.82,10,1,0
100362,16-01-2023,64,M,North,Call Center,1628.18,20,0,0
100363,16-01-2023,39,F,East,Agent,1547.24,10,1,1
100364,16-01-2023,40,F,West,Agent,1231.18,15,1,0
100365,16-01-2023,19,F,West,Call Center,1343.82,10,0,1
100366,16-01-2023,44,M,South,Call Center,1614.03,0,1,1
100367,16-01-2023,59,F,South,Agent,1860.86,5,1,1
100368,16-01-2023,19,M,South,Call Center,1753.21,5,1,0
100369,16-01-2023,43,F,North,Call Center,1553.4,0,1,0
100370,16-01-2023,34,M,South,Call Center,1362.29,5,0,0
100371,16-01-2023,57,F,North,Call Center,1365.05,0,0,1
100372,16-01-2023,50,M,West,Agent,1879.42,20,0,0
100373,16-01-2023,26,M,East,Call Center,1039.24,10,1,0
100374,16-01-2023,60,M,West,Online,1987.98,5,0,0
100375,16-01-2023,56,M,West,Call Center,1664.38,20,0,1
100376,16-01-2023,46,M,West,Online,1681.14,5,0,0
100377,16-01-2023,59,M,South,Call Center,1038,15,1,1
100378,16-01-2023,43,F,South,Online,1605.53,0,0,0
100379,16-01-2023,52,F,South,Online,1484.78,0,1,0
100380,16-01-2023,42,M,East,Call Center,1105.78,20,0,0
100381,16-01-2023,41,M,South,Call Center,1277.92,15,0,0
100382,16-01-2023,30,M,North,Call Center,1890.31,10,1,1
100383,16-01-2023,24,M,West,Online,1549.99,15,0,0
100384,17-01-2023,53,F,East,Agent,1413.42,15,1,0
100385,17-01-2023,62,M,East,Agent,1072.68,10,1,1
100386,17-01-2023,37,F,East,Call Center,1714.12,10,0,0
100387,17-01-2023,18,F,East,Agent,1702.85,15,1,1
100388,17-01-2023,25,M,East,Agent,1614.04,5,1,0
100389,17-01-2023,63,M,North,Call Center,1510.26,5,1,0
100390,17-01-2023,33,F,West,Online,1433.78,15,1,0
100391,17-01-2023,31,F,East,Call Center,1593.27,5,0,1
100392,17-01-2023,29,M,West,Agent,1233.4,10,1,0
100393,17-01-2023,40,M,South,Online,1941.26,10,1,1
100394,17-01-2023,32,M,East,Agent,1588.79,5,0,1
100395,17-01-2023,45,F,East,Online,1311.19,10,0,1
100396,17-01-2023,51,F,West,Agent,1449.68,0,0,1
100397,17-01-2023,19,M,East,Call Center,1805.68,10,1,0
100398,17-01-2023,49,F,East,Agent,1161.62,15,1,0
100399,17-01-2023,40,F,East,Agent,1292.84,20,1,0
100400,17-01-2023,39,M,North,Online,1679.51,5,1,0
100401,17-01-2023,42,M,North,Agent,1315.49,5,0,0
100402,17-01-2023,39,F,East,Call Center,1792.5,10,0,0
100403,17-01-2023,39,F,North,Call Center,1130.45,10,1,0
100404,17-01-2023,59,M,South,Call Center,1762.69,20,1,0
100405,17-01-2023,23,M,East,Online,1068.35,20,1,0
100406,17-01-2023,32,M,South,Online,1012.59,15,1,0
100407,17-01-2023,60,M,West,Agent,1898.22,0,0,0
100408,18-01-2023,54,M,South,Agent,1581.34,15,0,0
100409,18-01-2023,50,F,West,Agent,1351.83,5,0,0
100410,18-01-2023,25,F,East,Online,1232.59,10,0,1
100411,18-01-2023,61,F,West,Online,1616.89,15,1,0
100412,18-01-2023,61,F,West,Agent,1509,10,0,1
100413,18-01-2023,22,M,South,Online,1991.6,10,1,0
100414,18-01-2023,56,M,South,Online,1983.22,15,0,0
100415,18-01-2023,21,M,South,Call Center,1635.02,15,0,0
100416,18-01-2023,23,F,East,Call Center,1442.87,20,1,0
100417,18-01-2023,62,F,East,Agent,1491.14,0,0,0
100418,18-01-2023,49,F,South,Agent,1682.48,20,0,1
100419,18-01-2023,47,M,East,Call Center,1101.57,0,0,1
100420,18-01-2023,64,F,East,Online,1328.35,15,0,1
100421,18-01-2023,52,M,West,Agent,1075.27,0,1,0
100422,18-01-2023,57,M,West,Agent,1073.36,5,0,0
100423,18-01-2023,33,M,South,Agent,1195.84,20,0,0
100424,18-01-2023,30,M,East,Online,1485.25,20,0,0
100425,18-01-2023,59,M,West,Call Center,1784.77,20,1,1
100426,18-01-2023,47,M,North,Agent,1485.5,10,1,0
100427,18-01-2023,36,F,East,Call Center,1335.48,10,0,1
100428,18-01-2023,34,M,North,Call Center,1082.35,15,0,0
100429,18-01-2023,36,M,South,Online,1550.3,15,0,0
100430,18-01-2023,45,F,East,Online,1271.27,10,1,1
100431,18-01-2023,43,M,South,Online,1614.93,20,0,1
100432,19-01-2023,54,F,South,Online,1977.19,10,0,0
100433,19-01-2023,43,F,South,Online,1111.31,0,1,0
100434,19-01-2023,40,F,South,Online,1212.13,20,1,0
100435,19-01-2023,26,M,South,Agent,1473.09,10,1,0
100436,19-01-2023,29,M,East,Call Center,1968.61,15,0,1
100437,19-01-2023,18,F,North,Online,1771.81,10,0,0
100438,19-01-2023,18,M,East,Agent,1898.23,5,0,0
100439,19-01-2023,64,M,East,Call Center,1333.71,10,1,0
100440,19-01-2023,51,F,East,Online,1992.04,20,0,0
100441,19-01-2023,49,F,West,Online,1102.83,10,0,0
100442,19-01-2023,42,M,West,Agent,1052.97,15,1,1
100443,19-01-2023,57,F,East,Call Center,1855.6,0,1,0
100444,19-01-2023,62,F,North,Online,1927.26,5,0,1
100445,19-01-2023,18,F,East,Call Center,1090.59,20,1,0
100446,19-01-2023,33,M,South,Agent,1113.43,15,0,1
100447,19-01-2023,56,M,West,Online,1033.17,5,0,1
100448,19-01-2023,22,M,West,Call Center,1104.51,10,0,0
